3.7911 	INFO 	Screen res set as: 1920x1080
3.7916 	WARNING 	Creating new monitor...
3.7917 	INFO 	Loaded calibration from:2018_02_27 15:46
3.7918 	INFO 	['2018_02_27 15:46']
3.7925 	INFO 	configured pyglet screen 0
3.9971 	INFO 	Using gamma table of operating system
4.6150 	EXP 	TextStim: autoLog = None
4.6150 	EXP 	TextStim: units = None
4.6150 	EXP 	TextStim: useShaders = None
4.6150 	EXP 	TextStim: depth = None
4.6150 	EXP 	TextStim: ori = None
4.6150 	EXP 	TextStim: pos = None
4.6150 	EXP 	TextStim: colorSpace = None
4.6150 	EXP 	TextStim: opacity = None
4.6150 	EXP 	TextStim: contrast = None
4.6150 	EXP 	TextStim: autoLog = None
4.6150 	EXP 	TextStim: units = None
4.6150 	EXP 	TextStim: useShaders = None
4.6150 	EXP 	TextStim: depth = None
4.6150 	EXP 	TextStim: ori = None
4.6150 	EXP 	TextStim: pos = None
4.6150 	EXP 	TextStim: colorSpace = None
4.6150 	EXP 	TextStim: opacity = None
4.6150 	EXP 	TextStim: contrast = None
4.6150 	EXP 	Line: autoLog = None
4.6150 	EXP 	Line: units = None
4.6150 	EXP 	Line: contrast = None
4.6150 	EXP 	Line: opacity = None
4.6150 	EXP 	Line: pos = None
4.6150 	EXP 	Line: useShaders = None
4.6150 	EXP 	Set .fillColor=None (rgb)
4.6150 	EXP 	Line: depth = None
4.6150 	EXP 	Line: ori = None
4.6150 	EXP 	Line: size = None
4.6150 	EXP 	Line: size = None
4.6150 	EXP 	TextStim: autoLog = None
4.6150 	EXP 	TextStim: units = None
4.6150 	EXP 	TextStim: useShaders = None
4.6150 	EXP 	TextStim: depth = None
4.6150 	EXP 	TextStim: ori = None
4.6150 	EXP 	TextStim: pos = None
4.6150 	EXP 	TextStim: colorSpace = None
4.6150 	EXP 	TextStim: opacity = None
4.6150 	EXP 	TextStim: contrast = None
4.6150 	EXP 	TextStim: autoLog = None
4.6150 	EXP 	TextStim: units = None
4.6150 	EXP 	TextStim: useShaders = None
4.6150 	EXP 	TextStim: depth = None
4.6150 	EXP 	TextStim: ori = None
4.6150 	EXP 	TextStim: pos = None
4.6150 	EXP 	TextStim: colorSpace = None
4.6150 	EXP 	TextStim: opacity = None
4.6150 	EXP 	TextStim: contrast = None
4.6150 	EXP 	Rect: autoLog = None
4.6150 	EXP 	Rect: units = None
4.6150 	EXP 	Rect: contrast = None
4.6150 	EXP 	Rect: opacity = None
4.6150 	EXP 	Rect: pos = None
4.6150 	EXP 	Rect: useShaders = None
4.6150 	EXP 	Rect: depth = None
4.6150 	EXP 	Rect: ori = None
4.6150 	EXP 	Rect: size = None
4.6150 	EXP 	Rect: size = None
4.6150 	EXP 	TextStim: autoLog = None
4.6150 	EXP 	TextStim: units = None
4.6150 	EXP 	TextStim: useShaders = None
4.6150 	EXP 	TextStim: depth = None
4.6150 	EXP 	TextStim: ori = None
4.6150 	EXP 	TextStim: pos = None
4.6150 	EXP 	TextStim: colorSpace = None
4.6150 	EXP 	TextStim: opacity = None
4.6150 	EXP 	TextStim: contrast = None
4.6150 	EXP 	TextStim: autoLog = None
4.6150 	EXP 	TextStim: units = None
4.6150 	EXP 	TextStim: useShaders = None
4.6150 	EXP 	TextStim: depth = None
